Age,Annual_Income,Credit_Score,Years_at_Job,Existing_Loans,DTI_Ratio,Prediction,Risk_Probability,Default_status
47,101110,640,30,3,0.25,No Default,0.197511002,0
36,50630,319,25,0,0.2,No Default,0.290365656,0
34,41385,554,21,3,0.34,Default,0.522360317,1
73,55048,616,20,3,0.36,No Default,0.438829426,0
36,104716,337,0,2,0.2,No Default,0.351928904,0
45,63941,836,36,1,0.4,No Default,0.090166509,0
72,29588,685,12,0,0.46,No Default,0.204435309,0
43,75545,325,20,4,0.29,Default,0.771801708,1
54,37628,753,8,2,0.39,No Default,0.233062044,0
43,20372,622,16,1,0.35,No Default,0.270682533,0
70,126500,812,20,0,0.2,No Default,0.013499839,0
40,75253,312,30,3,0.47,Default,0.844138424,1
26,57576,670,38,1,0.5,No Default,0.291758715,0
29,50372,590,21,1,0.42,No Default,0.309954165,0
70,120395,631,11,1,0.26,No Default,0.07564865,0
18,280289,560,5,3,0.56,No Default,0.193468584,0
18,74936,504,15,4,0.33,Default,0.604523221,1
64,35781,686,25,2,0.23,No Default,0.175938716,0
51,55423,767,4,4,0.3,No Default,0.285832609,0
49,74256,714,8,0,0.45,No Default,0.112523297,0
71,18494,368,39,2,0.52,Default,0.856591391,1
65,70774,771,13,0,0.28,No Default,0.043275764,0
42,74474,403,29,3,0.22,No Default,0.5,1
57,116211,460,25,4,0.41,Default,0.662948589,1
62,110311,499,28,1,0.56,No Default,0.448022638,0
70,63296,515,18,2,0.19,No Default,0.246768456,0
18,127684,511,7,1,0.5,No Default,0.30189962,0
33,165684,807,22,0,0.34,No Default,0.017448943,0
56,60716,315,34,1,0.5,Default,0.733323378,1
22,73798,797,30,1,0.35,No Default,0.07680643,0
39,24744,631,34,3,0.29,No Default,0.411166553,0
46,28984,555,31,3,0.45,Default,0.685978115,1
72,39375,471,4,4,0.55,Default,0.888919667,1
20,47963,797,15,0,0.26,No Default,0.04138322,0
29,34611,770,16,3,0.33,No Default,0.256834762,0
43,58806,683,31,3,0.21,No Default,0.200015607,0
33,48685,806,37,4,0.19,No Default,0.175903183,0
68,102277,826,31,2,0.49,No Default,0.152705126,0
54,47221,624,19,4,0.2,No Default,0.375297662,0
39,19084,513,1,1,0.5,Default,0.575019533,1
74,63759,507,19,1,0.31,No Default,0.272621552,0
46,59450,468,17,3,0.6,Default,0.836207146,1
31,38908,629,0,3,0.2,No Default,0.266769311,0
45,62786,579,28,4,0.15,No Default,0.340910312,0
22,34974,604,28,4,0.14,No Default,0.358640723,0
64,70609,445,18,0,0.52,No Default,0.448440333,0
66,223342,815,39,1,0.32,No Default,0.014576838,0
47,24274,389,5,4,0.1,Default,0.615774185,1
63,46252,752,38,2,0.54,No Default,0.383544813,0
69,42691,359,7,0,0.54,Default,0.6520384,1
22,48212,610,23,4,0.5,Default,0.726474157,1
29,99704,827,19,3,0.22,No Default,0.07054512,0
33,78543,526,13,4,0.29,Default,0.520846656,1
43,91526,773,4,3,0.47,No Default,0.268403279,0
43,60794,840,39,3,0.34,No Default,0.167609306,0
65,30913,378,33,1,0.18,No Default,0.365451596,0
38,34291,732,15,1,0.22,No Default,0.08581184,0
56,86953,452,6,4,0.59,Default,0.865584641,1
53,65213,700,15,4,0.18,No Default,0.228386756,0
50,112431,578,6,2,0.46,No Default,0.334078832,0
47,69329,356,26,0,0.34,No Default,0.357778804,0
54,33139,485,13,0,0.47,No Default,0.427404915,0
40,46122,697,13,4,0.43,Default,0.548216483,1
27,79412,457,32,1,0.32,No Default,0.297929169,0
71,85405,658,32,2,0.28,No Default,0.161197576,0
22,91817,739,19,0,0.48,No Default,0.095587748,0
53,35445,765,35,4,0.26,No Default,0.304322143,0
51,32842,745,6,1,0.49,No Default,0.247394787,0
69,54453,787,31,1,0.44,No Default,0.149652744,0
48,123011,829,2,1,0.39,No Default,0.049015552,0
27,42322,372,38,3,0.28,Default,0.687860751,1
36,75168,316,28,1,0.2,No Default,0.348595707,0
49,75171,830,23,4,0.46,No Default,0.345831625,0
18,87586,625,21,2,0.15,No Default,0.098973266,0
73,137615,845,5,4,0.59,No Default,0.318554786,0
22,130738,501,23,1,0.59,No Default,0.415209502,0
62,44475,643,39,2,0.17,No Default,0.158342689,0
21,20974,822,22,0,0.15,No Default,0.028688139,0
33,42647,699,37,0,0.31,No Default,0.091560745,0
41,62182,517,9,4,0.58,Default,0.847224214,1
33,49969,744,15,2,0.3,No Default,0.151946339,0
72,160163,521,10,4,0.28,No Default,0.319854757,0
19,60439,682,31,2,0.45,No Default,0.320134228,0
66,83021,306,5,2,0.19,No Default,0.442496347,0
45,66743,571,23,4,0.28,No Default,0.487623996,0
49,50346,315,32,2,0.25,Default,0.596371758,1
44,22870,723,11,1,0.4,No Default,0.209961596,0
37,57566,823,26,2,0.18,No Default,0.061056752,0
41,304773,320,37,2,0.37,No Default,0.151592138,0
29,32137,527,17,4,0.53,Default,0.849840004,1
67,24162,587,38,0,0.36,No Default,0.228572868,0
52,157659,433,12,3,0.44,Default,0.5,1
50,86772,582,39,2,0.14,No Default,0.124999067,0
50,65756,703,29,3,0.32,No Default,0.263423833,0
68,118342,365,12,2,0.15,No Default,0.250472366,0
60,39507,736,33,4,0.4,No Default,0.492479763,0
54,56766,558,35,4,0.24,No Default,0.491117567,0
29,96526,402,29,2,0.24,No Default,0.347614391,0
20,171987,400,24,4,0.14,No Default,0.280678486,0
18,33380,497,1,4,0.26,Default,0.630935049,1
50,113591,525,35,2,0.35,No Default,0.287080277,0
57,72469,762,17,0,0.39,No Default,0.071198185,0
27,64960,536,4,2,0.13,No Default,0.166012524,0
60,59643,325,18,0,0.43,Default,0.52749584,1
61,29961,420,17,4,0.34,Default,0.809101009,1
46,96910,805,31,0,0.37,No Default,0.043021357,0
30,40492,481,20,4,0.52,Default,0.864288145,1
29,34896,842,9,0,0.27,No Default,0.039107516,0
48,93221,614,36,0,0.19,No Default,0.052431175,0
63,88837,572,21,2,0.38,No Default,0.316638551,0
19,62286,531,12,0,0.57,No Default,0.401351996,0
68,102720,719,16,4,0.36,No Default,0.305885782,0
67,122145,741,8,2,0.52,No Default,0.203225951,0
52,115163,795,23,0,0.48,No Default,0.060090214,0
40,45975,323,13,2,0.36,Default,0.706099345,1
34,99414,408,7,3,0.42,Default,0.651515783,1
43,66557,801,36,2,0.3,No Default,0.1046696,0
25,141910,324,18,3,0.37,Default,0.599442,1
46,56282,486,27,3,0.35,Default,0.592662176,1
43,50099,587,29,2,0.45,No Default,0.472173529,0
27,44050,637,6,4,0.3,No Default,0.469348942,0
43,65817,336,25,4,0.15,Default,0.647505777,1
51,75611,436,39,4,0.49,Default,0.837550557,1
68,76342,807,10,1,0.44,No Default,0.107527237,0
58,71295,526,13,3,0.58,Default,0.750869135,1
24,83743,619,20,2,0.31,No Default,0.205110097,0
21,53569,481,7,4,0.14,No Default,0.458335636,0
70,38705,385,2,4,0.16,Default,0.656404767,1
67,37052,766,27,2,0.49,No Default,0.331461332,0
62,97491,352,28,3,0.13,No Default,0.404704242,0
28,75747,534,22,2,0.55,Default,0.58925524,1
46,23672,732,17,1,0.24,No Default,0.104853747,0
73,103608,795,34,1,0.55,No Default,0.14794077,0
53,153310,399,12,2,0.49,No Default,0.5,1
42,41858,702,11,3,0.54,Default,0.56253105,1
38,70832,695,4,4,0.21,No Default,0.241829284,0
74,47252,826,38,1,0.4,No Default,0.114476062,0
53,81973,714,10,1,0.15,No Default,0.044585373,0
27,33422,762,10,3,0.2,No Default,0.160815848,0
54,57773,840,30,1,0.25,No Default,0.049337946,0
26,97797,663,30,1,0.47,No Default,0.192788449,0
41,111063,429,12,3,0.11,No Default,0.250513021,0
52,74105,383,13,2,0.55,Default,0.767811011,1
66,50537,570,24,4,0.14,No Default,0.372443354,0
52,27002,543,32,4,0.29,Default,0.647432705,1
65,40995,687,32,1,0.14,No Default,0.074561853,0
53,47351,513,14,4,0.48,Default,0.806506717,1
35,42240,465,15,2,0.17,No Default,0.316417788,0
66,61683,358,37,1,0.54,Default,0.727555475,1
56,50466,803,5,4,0.37,No Default,0.333086831,0
49,65255,422,24,0,0.57,Default,0.552250483,1
41,109241,712,14,0,0.25,No Default,0.033555489,0
40,48862,438,3,0,0.33,No Default,0.284751215,0
49,29988,528,3,0,0.45,No Default,0.353540972,0
54,42156,573,29,0,0.52,No Default,0.359556292,0
29,80161,738,33,1,0.31,No Default,0.081892881,0
66,84033,417,26,3,0.55,Default,0.809060336,1
72,73353,782,30,3,0.16,No Default,0.092705017,0
30,114733,694,31,1,0.45,No Default,0.133973901,0
40,54547,759,38,1,0.27,No Default,0.080697077,0
42,167055,377,8,2,0.15,No Default,0.153345409,0
52,90137,711,7,3,0.29,No Default,0.180491198,0
58,16953,374,13,0,0.54,Default,0.693449161,1
47,147315,594,32,1,0.59,No Default,0.274868496,0
34,40802,320,22,0,0.3,No Default,0.421219876,0
66,35701,470,20,3,0.54,Default,0.832850306,1
37,77799,314,11,4,0.35,Default,0.820682467,1
65,25107,510,1,4,0.46,Default,0.827517427,1
42,42288,385,12,1,0.12,No Default,0.254521965,0
39,130424,448,3,2,0.38,No Default,0.355875262,0
30,79071,671,19,0,0.14,No Default,0.033531335,0
36,89870,779,13,1,0.23,No Default,0.042161364,0
66,43111,450,29,2,0.38,Default,0.595429399,1
53,27745,440,28,0,0.5,Default,0.544565043,1
29,85255,368,7,3,0.38,Default,0.687562945,1
58,95332,559,11,4,0.57,Default,0.75295819,1
36,93199,820,37,2,0.51,No Default,0.180313681,0
29,66471,670,25,0,0.18,No Default,0.046981741,0
26,36918,718,1,1,0.29,No Default,0.11714532,0
24,202578,400,39,0,0.43,No Default,0.143054311,0
45,76106,542,13,1,0.57,No Default,0.47961252,0
31,54888,811,5,4,0.59,Default,0.559928003,1
48,55010,394,39,4,0.48,Default,0.883926796,1
69,64524,525,30,0,0.39,No Default,0.236063704,0
36,102211,817,16,0,0.48,No Default,0.061937637,0
64,65828,513,24,1,0.24,No Default,0.201537013,0
33,91973,366,31,1,0.24,No Default,0.292364622,0
70,64582,695,11,2,0.43,No Default,0.280116221,0
22,56603,311,12,2,0.54,Default,0.843084279,1
52,82505,536,18,2,0.58,Default,0.610101664,1
29,80954,698,24,0,0.27,No Default,0.053506599,0
42,55005,706,30,2,0.5,No Default,0.365737463,0
69,41167,779,36,0,0.53,No Default,0.16782781,0
38,71030,521,24,4,0.41,Default,0.689705232,1
53,62266,455,15,3,0.27,Default,0.518042264,1
70,45368,727,37,4,0.41,Default,0.506168693,1
40,39292,457,22,0,0.39,No Default,0.357698813,0
33,73514,715,13,0,0.4,No Default,0.089959862,0
74,78829,625,5,3,0.41,No Default,0.418695007,0
56,50010,670,24,1,0.52,No Default,0.334342566,0
62,44803,643,22,1,0.19,No Default,0.108823746,0
70,39532,561,11,1,0.28,No Default,0.234488544,0
59,72484,582,12,2,0.39,No Default,0.350947838,0
56,40055,528,35,1,0.24,No Default,0.235984572,0
31,183609,579,38,2,0.59,No Default,0.313467745,0
48,48769,589,33,2,0.23,No Default,0.238211358,0
22,17807,346,5,1,0.33,Default,0.592998689,1
52,58977,513,37,1,0.54,Default,0.540658377,1
40,57727,323,39,3,0.14,Default,0.557090805,1
46,104386,620,7,3,0.51,No Default,0.471752926,0
60,69152,573,7,2,0.39,No Default,0.367309317,0
28,39461,612,39,3,0.12,No Default,0.224255993,0
35,51885,662,32,2,0.55,No Default,0.487385419,0
64,70524,679,33,0,0.12,No Default,0.034069624,0
29,20285,769,14,2,0.36,No Default,0.221341556,0
26,116927,415,35,2,0.12,No Default,0.182662516,0
27,39514,341,34,3,0.14,Default,0.574338563,1
61,121603,678,21,0,0.54,No Default,0.131014731,0
34,72855,505,22,4,0.48,Default,0.767950433,1
55,82026,765,39,4,0.2,No Default,0.168550413,0
24,106373,579,21,4,0.41,Default,0.523805758,1
63,79743,417,4,0,0.5,No Default,0.431020756,0
30,83821,536,30,1,0.54,No Default,0.435525524,0
57,55148,608,12,0,0.33,No Default,0.134498876,0
59,72119,755,27,3,0.55,No Default,0.43766565,0
26,44633,774,19,2,0.35,No Default,0.170514442,0
67,50427,399,32,2,0.44,Default,0.706556507,1
44,159906,560,15,3,0.59,Default,0.50719166,1
19,39970,604,28,3,0.22,No Default,0.320830835,0
22,64676,653,22,2,0.18,No Default,0.122744227,0
46,63369,585,23,1,0.27,No Default,0.165993781,0
54,51257,627,33,1,0.18,No Default,0.107092746,0
55,77435,402,6,1,0.24,No Default,0.279204288,0
36,80407,362,37,3,0.47,Default,0.798284957,1
25,37687,581,36,2,0.34,No Default,0.380972,0
65,62986,740,3,2,0.29,No Default,0.133592016,0
62,34850,592,33,2,0.28,No Default,0.315620887,0
18,88811,306,21,0,0.2,No Default,0.222278599,0
39,65397,391,4,0,0.32,No Default,0.291145771,0
69,62390,489,22,4,0.41,Default,0.748893411,1
34,83242,775,14,0,0.17,No Default,0.021207406,0
24,52169,810,30,1,0.59,No Default,0.238224066,0
42,94561,761,8,1,0.32,No Default,0.064365576,0
62,37263,352,24,1,0.57,Default,0.799962492,1
21,121289,785,24,1,0.17,No Default,0.022176859,0
53,45458,789,20,4,0.48,No Default,0.494503145,0
23,25640,663,8,1,0.41,No Default,0.266242343,0
48,50804,411,37,3,0.51,Default,0.836347285,1
36,48002,708,21,3,0.4,No Default,0.375885308,0
61,50612,306,22,3,0.58,Default,0.925740921,1
71,67226,496,3,0,0.41,No Default,0.268820961,0
56,103665,666,28,2,0.49,No Default,0.291244098,0
44,54401,549,14,4,0.54,Default,0.808665575,1
27,42369,539,0,3,0.46,Default,0.666621173,1
43,34088,679,29,3,0.36,No Default,0.406217062,0
36,47377,770,28,1,0.24,No Default,0.070004728,0
56,23297,754,19,3,0.53,Default,0.537352621,1
20,41665,665,32,1,0.34,No Default,0.184130059,0
62,111527,589,35,1,0.41,No Default,0.194842299,0
30,39668,702,21,2,0.14,No Default,0.103912883,0
67,81990,357,12,0,0.35,No Default,0.33762566,0
45,32427,820,6,1,0.45,No Default,0.152949867,0
37,145153,603,7,1,0.39,No Default,0.116401707,0
45,150061,414,27,2,0.32,No Default,0.296666157,0
25,80459,509,8,1,0.21,No Default,0.150539352,0
58,162044,340,24,4,0.25,Default,0.515654537,1
56,71531,472,15,0,0.45,No Default,0.331605882,0
18,87926,533,9,4,0.21,No Default,0.38653952,0
20,112529,702,10,3,0.41,No Default,0.240888642,0
30,65503,338,30,0,0.39,No Default,0.443750582,0
45,27551,418,11,3,0.59,Default,0.897738865,1
74,88830,634,30,1,0.13,No Default,0.061152301,0
66,47290,635,13,2,0.15,No Default,0.141779306,0
42,49081,838,31,4,0.35,No Default,0.279899954,0
73,69490,373,16,3,0.36,Default,0.710594855,1
50,79470,490,34,1,0.12,No Default,0.121827284,0
55,64541,623,0,4,0.51,Default,0.685125345,1
70,82278,446,28,4,0.35,Default,0.697768726,1
23,42048,583,3,3,0.27,No Default,0.387717067,0
61,58609,512,22,1,0.26,No Default,0.230408338,0
62,91541,693,27,2,0.53,No Default,0.333368836,0
49,145276,638,15,3,0.2,No Default,0.106813801,0
62,173375,321,11,4,0.18,No Default,0.422185799,0
64,74346,404,20,4,0.21,Default,0.610234587,1
38,91126,765,16,0,0.41,No Default,0.062576957,0
33,161262,758,39,1,0.51,No Default,0.084186772,0
71,42812,731,12,0,0.27,No Default,0.064915817,0
38,82030,520,31,2,0.19,No Default,0.205808278,0
28,87919,678,36,3,0.2,No Default,0.151820046,0
54,123491,521,14,4,0.41,Default,0.561790007,1
53,33908,557,11,1,0.22,No Default,0.195675125,0
52,37432,666,14,4,0.54,Default,0.731127607,1
36,60517,648,33,0,0.15,No Default,0.049754212,0
37,72320,524,5,0,0.12,No Default,0.066171177,0
74,104970,535,16,3,0.14,No Default,0.196341373,0
35,77557,482,19,1,0.52,No Default,0.5,1
64,55508,743,8,1,0.43,No Default,0.166358175,0
58,73734,305,4,3,0.58,Default,0.904434051,1
66,69600,535,22,0,0.27,No Default,0.132066592,0
31,143273,426,32,0,0.21,No Default,0.0845698,0
32,65044,403,37,0,0.38,No Default,0.355851441,0
48,49437,779,13,4,0.37,No Default,0.364485918,0
18,74967,454,16,2,0.4,Default,0.511160498,1
70,66121,556,18,0,0.27,No Default,0.123222758,0
71,27296,534,32,2,0.1,No Default,0.222880355,0
71,59407,799,0,2,0.12,No Default,0.050568483,0
20,56933,588,12,1,0.43,No Default,0.30200057,0
33,45618,809,26,3,0.36,No Default,0.228422765,0
40,100487,597,5,4,0.51,Default,0.632698776,1
74,40423,436,5,2,0.25,No Default,0.454640625,0
28,75192,675,32,4,0.51,Default,0.604124276,1
29,55607,386,29,1,0.31,No Default,0.430861144,0
27,63186,718,34,0,0.15,No Default,0.033159637,0
49,73562,498,22,2,0.59,Default,0.688469095,1
33,31138,762,9,3,0.36,No Default,0.300132046,0
25,65895,736,18,1,0.41,No Default,0.141207885,0
55,188051,609,27,4,0.44,No Default,0.329152475,0
29,27491,580,22,0,0.28,No Default,0.157481814,0
41,58174,622,3,4,0.47,Default,0.655908073,1
45,104989,451,19,3,0.54,Default,0.722167069,1
70,69620,601,18,2,0.29,No Default,0.238996937,0
25,84455,577,26,3,0.43,No Default,0.487786273,0
45,18254,307,33,4,0.48,Default,0.946170289,1
53,80750,534,3,4,0.2,No Default,0.398103228,0
43,40911,601,37,3,0.27,No Default,0.388860026,0
25,69908,337,6,3,0.15,No Default,0.5,1
67,58999,435,6,3,0.4,Default,0.699142662,1
45,187056,720,25,0,0.5,No Default,0.048861042,0
45,78696,518,25,4,0.41,Default,0.677985893,1
54,56595,647,18,1,0.19,No Default,0.094075309,0
58,28145,845,8,0,0.37,No Default,0.065198451,0
53,63613,378,19,0,0.52,Default,0.553587389,1
44,90365,572,15,0,0.25,No Default,0.080543797,0
71,57510,460,16,1,0.52,Default,0.58619093,1
34,46498,607,21,3,0.49,Default,0.619378317,1
26,44968,673,12,4,0.11,No Default,0.224925413,0
50,78242,308,11,2,0.22,No Default,0.486743059,0
70,87526,743,9,2,0.37,No Default,0.149700633,0
37,118255,412,0,4,0.46,Default,0.74711922,1
30,36406,504,31,1,0.54,Default,0.602168391,1
45,77885,704,29,2,0.42,No Default,0.236206095,0
65,56339,496,7,0,0.29,No Default,0.187233786,0
46,57175,414,20,2,0.19,No Default,0.371134995,0
30,73197,420,21,4,0.48,Default,0.837982941,1
63,73410,364,17,0,0.2,No Default,0.204514484,0
52,77993,575,1,2,0.45,No Default,0.405693891,0
23,35286,538,8,4,0.19,No Default,0.491392641,0
35,41154,601,2,1,0.15,No Default,0.108743029,0
68,125861,691,25,4,0.23,No Default,0.178721421,0
22,53621,821,20,1,0.24,No Default,0.051331465,0
64,69773,668,29,0,0.42,No Default,0.13485685,0
42,101451,532,27,4,0.18,No Default,0.338221026,0
19,75487,494,35,3,0.57,Default,0.765078101,1
27,78689,311,25,3,0.38,Default,0.767878244,1
73,93647,476,33,3,0.35,Default,0.519323712,1
47,20778,516,7,3,0.32,Default,0.599464714,1
67,46864,310,9,3,0.38,Default,0.824954531,1
62,75682,745,13,1,0.11,No Default,0.033880894,0
22,119829,463,39,4,0.6,Default,0.82234438,1
72,61885,352,14,0,0.38,No Default,0.426968082,0
73,39247,517,16,3,0.12,No Default,0.330394974,0
50,39773,659,17,3,0.39,No Default,0.449300708,0
71,93146,684,31,0,0.32,No Default,0.065202611,0
18,53697,355,37,0,0.11,No Default,0.17466171,0
35,59658,417,22,3,0.56,Default,0.846169798,1
49,81431,552,22,1,0.11,No Default,0.083049333,0
64,14033,479,34,0,0.39,No Default,0.402695018,0
66,162784,714,38,4,0.58,No Default,0.422556509,0
28,41542,534,14,4,0.22,Default,0.52114048,1
38,67573,379,23,1,0.23,No Default,0.319409443,0
43,25531,321,27,2,0.1,No Default,0.4676265,0
42,48471,776,15,1,0.13,No Default,0.04114702,0
39,111562,739,15,3,0.12,No Default,0.062258609,0
44,22969,392,39,2,0.51,Default,0.822215316,1
66,105145,491,38,3,0.52,Default,0.668917639,1
30,52216,402,5,4,0.46,Default,0.861966281,1
50,76388,695,1,0,0.28,No Default,0.058495805,0
51,83179,306,12,3,0.51,Default,0.859403065,1
58,74660,530,8,4,0.37,Default,0.626952658,1
52,38852,539,33,1,0.25,No Default,0.234833938,0
18,49897,389,16,3,0.32,Default,0.681413053,1
38,28831,531,26,4,0.13,No Default,0.458129296,0
65,76565,756,28,0,0.57,No Default,0.157799773,0
72,140228,532,36,3,0.41,No Default,0.398302722,0
23,24047,653,21,4,0.47,Default,0.700755618,1
45,40911,632,23,3,0.44,Default,0.544402921,1
34,54672,738,6,0,0.43,No Default,0.108413108,0
22,65294,674,33,3,0.11,No Default,0.12880978,0
48,92928,591,11,3,0.36,No Default,0.366257448,0
22,55486,644,22,4,0.51,Default,0.68238554,1
55,51124,727,14,2,0.12,No Default,0.076515064,0
20,103939,429,32,3,0.58,Default,0.781636467,1
70,83366,440,12,2,0.31,No Default,0.412991168,0
40,78392,714,22,1,0.24,No Default,0.067971711,0
54,63339,392,37,3,0.37,Default,0.716790779,1
70,97887,583,31,2,0.5,No Default,0.422619248,0
54,43124,522,34,1,0.34,No Default,0.336386755,0
27,40281,762,0,4,0.42,No Default,0.45435466,0
27,86946,844,4,3,0.35,No Default,0.126026792,0
36,26568,575,12,4,0.42,Default,0.730586916,1
34,62698,439,4,1,0.17,No Default,0.204179881,0
38,51109,656,31,4,0.12,No Default,0.247729069,0
31,29647,322,20,4,0.17,Default,0.753835226,1
26,37585,569,23,0,0.24,No Default,0.127919974,0
63,56699,632,17,1,0.23,No Default,0.121007998,0
18,100406,384,20,4,0.41,Default,0.767668564,1
68,43196,330,9,2,0.33,Default,0.678488776,1
62,109830,539,23,1,0.12,No Default,0.071494254,0
30,61795,662,39,0,0.12,No Default,0.039718534,0
21,115288,688,20,3,0.15,No Default,0.087632424,0
18,44256,598,24,4,0.28,Default,0.5,1
66,58430,670,22,2,0.1,No Default,0.088656273,0
57,71987,398,21,0,0.35,No Default,0.310710759,0
49,54734,346,3,1,0.28,No Default,0.443134235,0
51,96424,721,33,4,0.38,No Default,0.344912812,0
45,19855,779,5,0,0.46,No Default,0.141131625,0
48,201028,361,27,0,0.23,No Default,0.073689323,0
25,91939,408,30,2,0.18,No Default,0.285210136,0
56,54898,848,34,3,0.24,No Default,0.112640965,0
43,45425,418,38,3,0.1,No Default,0.41505374,0
51,38823,681,22,3,0.16,No Default,0.195097457,0
71,82686,691,5,1,0.48,No Default,0.202208011,0
71,98468,351,15,0,0.21,No Default,0.182831776,0
20,55201,588,1,1,0.6,No Default,0.5,1
67,104140,636,23,0,0.18,No Default,0.03965205,0
29,38039,503,16,2,0.49,Default,0.649802342,1
18,34825,537,0,2,0.45,Default,0.557658097,1
71,148252,681,5,1,0.26,No Default,0.045805052,0
61,80463,435,4,1,0.27,No Default,0.267257434,0
22,120381,706,28,2,0.38,No Default,0.135621812,0
47,39066,807,11,4,0.53,Default,0.541572889,1
47,37730,661,38,3,0.29,No Default,0.347621166,0
74,50045,680,2,3,0.13,No Default,0.156070244,0
34,39654,553,0,2,0.29,No Default,0.342780434,0
65,85193,776,26,3,0.2,No Default,0.100233202,0
64,41127,413,23,4,0.57,Default,0.9239857,1
40,33328,319,18,4,0.45,Default,0.921575559,1
32,64280,827,7,0,0.13,No Default,0.015875834,0
54,31413,444,1,1,0.25,No Default,0.344784936,0
38,24349,507,29,3,0.13,No Default,0.383538579,0
31,63999,830,29,4,0.52,No Default,0.43798803,0
19,24968,675,38,1,0.55,No Default,0.416746787,0
28,88224,803,31,1,0.16,No Default,0.027684018,0
68,29802,465,0,0,0.32,No Default,0.291444792,0
56,19529,849,37,1,0.57,No Default,0.254215634,0
55,51694,480,12,1,0.17,No Default,0.193844897,0
51,64363,743,10,2,0.25,No Default,0.10942365,0
55,76552,631,9,0,0.25,No Default,0.068759762,0
67,65251,802,25,0,0.12,No Default,0.018454739,0
51,35254,378,19,3,0.12,Default,0.511439515,1
35,85522,695,16,1,0.58,No Default,0.277237517,0
47,96767,402,16,3,0.39,Default,0.642707474,1
32,32765,701,3,4,0.25,No Default,0.358464319,0
44,54693,523,4,1,0.29,No Default,0.243571944,0
68,52196,817,22,4,0.46,No Default,0.421238868,0
51,66848,535,9,2,0.28,No Default,0.296697052,0
69,54043,726,27,1,0.21,No Default,0.073781575,0
74,57876,415,32,3,0.15,No Default,0.45213135,0
55,82529,462,25,3,0.46,Default,0.682758537,1
50,34305,525,28,1,0.19,No Default,0.203949028,0
41,86568,529,26,3,0.13,No Default,0.22248424,0
32,105933,481,17,1,0.31,No Default,0.208172791,0
47,135546,548,39,0,0.12,No Default,0.034537131,0
72,20502,617,9,3,0.58,Default,0.760511216,1
59,54641,509,4,1,0.41,No Default,0.388391557,0
68,22414,691,9,1,0.18,No Default,0.100393049,0
34,17720,395,20,3,0.19,Default,0.614579893,1
22,64347,385,23,0,0.38,No Default,0.370209305,0
46,49041,714,37,3,0.28,No Default,0.250635302,0
21,69558,693,2,1,0.49,No Default,0.220870297,0
27,76348,800,39,0,0.37,No Default,0.054215242,0
73,111742,432,30,4,0.32,Default,0.615681799,1
34,61510,613,36,2,0.58,Default,0.565752061,1
27,258248,520,1,3,0.3,No Default,0.096076656,0
34,69787,737,1,1,0.3,No Default,0.082540814,0
37,150427,345,38,0,0.43,No Default,0.281774606,0
41,18649,491,33,0,0.5,No Default,0.5,1
22,117579,819,19,4,0.41,No Default,0.211489854,0
51,54700,678,32,3,0.45,No Default,0.465006745,0
23,22602,633,3,0,0.29,No Default,0.129453973,0
70,73885,338,10,4,0.34,Default,0.805420879,1
19,51458,592,4,1,0.2,No Default,0.126186005,0
30,80019,461,24,4,0.44,Default,0.761863667,1
60,99263,630,36,3,0.21,No Default,0.182967841,0
60,28436,403,33,4,0.1,Default,0.603589012,1
65,99454,460,8,0,0.57,No Default,0.410009844,0
28,60068,353,5,0,0.25,No Default,0.27277457,0
68,117761,333,17,2,0.2,No Default,0.342259296,0
64,54037,541,13,4,0.23,Default,0.5,1
74,47325,412,18,1,0.27,No Default,0.379724323,0
40,60689,617,13,3,0.34,No Default,0.387994653,0
72,63002,322,39,2,0.13,No Default,0.419682569,0
33,42985,417,16,4,0.13,Default,0.567276114,1
48,46716,511,34,1,0.25,No Default,0.246748898,0
28,32421,717,28,2,0.25,No Default,0.166077061,0
71,48178,412,16,0,0.16,No Default,0.176769519,0
33,83964,343,7,3,0.3,Default,0.637689754,1
25,55900,427,0,4,0.24,Default,0.643172713,1
21,99164,457,35,1,0.11,No Default,0.110614933,0
57,54572,693,6,0,0.54,No Default,0.213462201,0
21,29267,811,4,2,0.54,No Default,0.328325418,0
73,80711,344,23,3,0.2,Default,0.543266462,1
42,42752,407,27,2,0.18,No Default,0.405558776,0
20,53280,518,16,2,0.37,No Default,0.446558655,0
49,111166,742,36,1,0.42,No Default,0.099715687,0
20,33508,614,19,0,0.58,No Default,0.382694934,0
44,65014,476,2,4,0.29,Default,0.620597409,1
46,58673,527,36,1,0.41,No Default,0.367715041,0
49,85004,566,25,3,0.54,Default,0.640534732,1
67,91819,678,14,2,0.32,No Default,0.158484017,0
68,68317,788,7,3,0.16,No Default,0.090287652,0
36,50001,589,12,1,0.29,No Default,0.192839203,0
38,75863,656,2,1,0.17,No Default,0.065262334,0
22,116754,503,0,4,0.11,No Default,0.248739527,0
35,59062,512,8,2,0.48,Default,0.572807042,1
45,52384,622,30,1,0.22,No Default,0.126989482,0
59,72699,480,25,3,0.1,No Default,0.274897185,0
39,61044,798,16,4,0.54,Default,0.508429423,1
38,30673,619,33,3,0.32,No Default,0.446272577,0
23,67485,382,8,2,0.22,No Default,0.407945467,0
18,30534,602,12,4,0.23,No Default,0.46711303,0
22,72203,561,4,4,0.22,No Default,0.399993456,0
