Age,Annual_Income,Credit_Score,Years_at_Job,Existing_Loans,DTI_Ratio
18,30249,375,16,3,0.15
34,47674,368,28,2,0.51
39,42753,744,2,2,0.26
51,36949,597,23,4,0.35
73,49620,773,2,2,0.49
62,43831,459,38,2,0.3
58,92641,307,26,0,0.11
46,41861,784,0,1,0.31
21,75012,387,14,3,0.54
22,73711,440,13,2,0.16
28,28266,840,3,3,0.44
73,46497,824,3,4,0.35
68,56668,642,24,2,0.37
38,68371,515,10,0,0.52
52,53200,805,32,3,0.49
29,100806,373,10,4,0.59
43,63093,368,11,0,0.18
68,74813,522,14,1,0.23
36,44529,685,25,4,0.47
62,75360,584,23,0,0.52
24,157659,421,25,3,0.51
64,77908,740,26,0,0.33
72,103933,756,35,4,0.15
24,51752,463,26,1,0.28
43,95046,562,37,1,0.24
57,99288,391,1,4,0.36
22,67692,635,22,3,0.18
38,57677,613,8,1,0.42
31,28352,765,7,2,0.58
21,58912,700,39,2,0.47
40,79428,784,0,1,0.59
59,40838,576,20,3,0.46
37,31728,365,25,3,0.47
32,63005,500,14,3,0.37
67,67193,767,24,3,0.57
69,30525,733,38,3,0.28
62,61107,437,15,0,0.48
46,69214,351,34,1,0.1
25,115919,751,22,4,0.5
58,47180,457,11,2,0.25
65,169941,505,18,1,0.14
36,61509,641,33,2,0.46
65,32827,615,7,1,0.36
56,50762,435,22,1,0.24
63,34323,374,10,2,0.48
45,55071,748,33,3,0.31
63,75677,368,4,2,0.43
74,68466,501,36,2,0.6
44,34027,466,24,2,0.1
21,31976,420,23,3,0.52
32,73842,396,23,1,0.38
52,82623,676,33,4,0.29
54,46888,790,17,4,0.58
18,16834,352,11,1,0.57
20,33550,308,38,2,0.13
64,98041,630,14,1,0.45
41,41387,550,11,0,0.4
44,50331,659,28,1,0.44
57,78957,648,28,0,0.57
53,51372,423,19,4,0.6
51,120416,498,14,4,0.22
46,49676,710,2,4,0.25
41,38935,679,15,2,0.47
41,108135,804,18,0,0.45
59,61322,394,6,0,0.17
21,34919,329,35,0,0.57
20,75804,391,21,1,0.5
51,51680,314,14,2,0.27
74,33761,759,8,4,0.39
66,62790,322,16,1,0.46
40,55323,625,32,2,0.54
70,25752,386,1,4,0.59
73,35254,492,6,0,0.45
69,152157,562,30,0,0.39
40,62358,728,13,0,0.58
62,117399,659,36,3,0.36
22,69871,732,3,0,0.21
48,111142,807,9,4,0.15
70,79053,348,21,1,0.18
58,37303,467,23,1,0.4
74,81097,740,17,3,0.44
74,37183,527,10,3,0.49
71,95290,513,0,4,0.25
23,66760,453,31,2,0.29
54,60438,706,15,3,0.5
74,48085,317,13,3,0.17
27,89252,766,32,4,0.53
57,55335,643,6,1,0.24
24,23041,623,18,4,0.33
56,25409,545,24,0,0.21
55,31740,359,4,2,0.17
38,88617,793,9,3,0.48
37,92053,348,3,2,0.5
20,70438,552,23,4,0.26
68,70066,682,5,1,0.55
39,123385,608,11,2,0.44
64,71070,844,19,3,0.36
21,82376,357,25,0,0.52
45,59553,363,11,2,0.54
29,47546,424,32,4,0.4
55,52045,360,11,4,0.39
68,166939,679,37,2,0.44
53,34774,437,3,4,0.38
64,70063,365,16,2,0.39
58,28065,478,9,2,0.4
22,44123,470,18,1,0.26
30,88160,643,32,4,0.48
40,24222,486,36,1,0.28
67,94124,526,27,4,0.42
47,166670,565,1,1,0.46
54,71867,491,37,0,0.38
42,112527,425,37,4,0.22
65,67779,773,20,1,0.39
44,85437,398,22,0,0.51
68,75123,643,32,0,0.14
31,46396,542,25,0,0.43
74,44362,319,29,1,0.15
65,108090,658,3,0,0.42
64,58623,732,5,3,0.24
71,55776,786,33,4,0.55
53,55202,629,19,3,0.3
56,69787,606,36,3,0.29
33,33098,484,14,4,0.53
73,54662,634,39,3,0.58
39,69932,805,22,0,0.11
38,31585,762,8,2,0.35
71,66477,302,33,3,0.38
38,38222,474,33,4,0.56
25,69997,832,26,1,0.4
66,176179,597,15,1,0.39
33,56363,417,3,0,0.47
72,34915,505,27,3,0.5
48,67409,434,16,2,0.33
59,75894,502,11,1,0.18
27,37479,334,4,2,0.53
49,25355,329,34,0,0.18
51,37536,727,37,4,0.59
26,58443,556,38,4,0.28
34,47683,680,35,0,0.58
28,102615,481,29,2,0.45
49,77540,507,13,2,0.53
27,63006,738,13,2,0.57
39,25022,641,1,0,0.43
74,82059,677,27,1,0.49
34,161069,710,20,1,0.2
21,92148,826,14,3,0.29
65,43094,682,22,4,0.3
69,55928,764,9,4,0.19
64,75322,692,25,3,0.38
42,119770,450,34,2,0.47
38,42071,668,33,0,0.23
54,47441,406,1,4,0.46
55,58595,438,30,2,0.51
66,56086,579,4,1,0.11
18,88981,371,18,2,0.52
42,68264,804,29,3,0.21
68,29774,405,16,0,0.11
53,43114,800,28,4,0.5
34,43739,458,11,3,0.49
58,19782,449,7,1,0.11
41,95303,313,14,1,0.14
19,63972,304,33,0,0.56
57,45691,572,27,4,0.55
32,94023,637,20,1,0.36
49,69610,510,16,3,0.53
56,31474,626,17,1,0.25
23,81210,765,23,4,0.18
18,118952,378,23,2,0.59
64,55829,476,11,1,0.39
40,57900,431,0,1,0.25
56,63188,591,35,1,0.36
74,32566,677,31,2,0.4
34,64261,715,4,4,0.27
51,38340,643,25,3,0.48
58,59679,676,2,4,0.12
46,65052,784,32,0,0.22
26,78072,445,38,3,0.26
30,79521,831,19,2,0.46
23,37652,595,11,0,0.5
23,65762,644,37,1,0.41
37,96572,696,19,1,0.27
69,33634,774,16,4,0.23
70,143279,824,7,2,0.3
20,36819,345,12,2,0.32
34,135093,727,8,1,0.4
66,37144,522,18,1,0.44
29,58214,322,25,2,0.29
65,54368,366,4,2,0.16
64,30230,782,24,4,0.32
62,84888,505,4,1,0.28
72,87096,557,22,2,0.13
18,81623,845,34,0,0.2
34,52878,552,31,0,0.31
20,42155,488,5,0,0.38
43,103733,452,13,3,0.37
32,66617,376,28,0,0.21
53,41021,839,36,2,0.22
49,66653,668,21,3,0.46
49,25916,453,19,1,0.27
21,63189,454,7,2,0.19
35,83107,570,26,0,0.33
66,54737,808,6,1,0.35
36,85430,689,33,0,0.2
60,89914,367,27,4,0.33
69,68710,431,30,3,0.47
52,144934,564,20,1,0.19
57,117827,519,9,0,0.28
31,81933,588,35,4,0.15
50,71507,378,12,3,0.21
31,52670,619,25,0,0.32
51,43322,617,33,2,0.59
72,89209,786,18,4,0.45
21,54199,690,5,1,0.57
41,36060,338,14,0,0.15
46,40091,498,17,1,0.57
36,42826,404,19,2,0.36
23,143885,806,0,1,0.24
74,91483,628,21,4,0.52
50,60909,607,35,3,0.4
66,73642,521,17,0,0.15
57,78042,326,9,3,0.37
36,38781,450,19,0,0.42
70,33396,472,39,1,0.11
18,101292,321,5,1,0.37
22,30489,844,36,4,0.28
44,59354,693,21,1,0.33
33,41736,346,3,2,0.15
23,66869,424,3,4,0.35
57,52758,634,18,0,0.59
30,78197,594,28,1,0.47
65,18852,836,27,0,0.56
52,104855,837,12,1,0.24
36,86482,596,38,4,0.29
29,99287,343,27,2,0.42
33,93731,321,29,0,0.47
60,70045,525,21,3,0.25
27,43448,848,22,1,0.27
42,74549,673,17,4,0.17
37,69200,303,16,0,0.44
48,92807,323,30,4,0.27
21,81701,621,27,0,0.17
61,62762,838,7,2,0.42
40,74351,671,31,1,0.11
19,77719,664,5,0,0.58
73,103173,368,7,3,0.42
39,142620,771,21,1,0.4
68,80703,804,39,1,0.42
74,77900,612,30,4,0.26
54,53557,371,5,1,0.22
25,50429,545,3,0,0.37
24,41651,372,6,2,0.57
31,12089,827,33,0,0.24
73,39355,339,26,1,0.46
72,54920,338,1,3,0.59
20,51373,355,13,3,0.37
67,75229,471,28,0,0.33
33,40054,601,38,0,0.47
72,40945,789,21,0,0.17
36,20809,731,4,0,0.12
68,75789,303,17,4,0.28
35,38410,560,15,0,0.52
69,41856,848,5,4,0.14
33,79409,709,0,1,0.4
25,38508,564,11,0,0.13
50,72415,314,23,0,0.35
66,32750,387,10,3,0.17
29,59245,398,33,1,0.4
70,44142,516,28,1,0.26
28,52409,709,31,0,0.29
22,127495,490,20,1,0.13
44,26379,514,39,2,0.49
29,121930,326,32,3,0.4
34,37820,481,32,1,0.39
23,92460,458,27,2,0.43
50,102094,529,35,0,0.43
22,74252,534,0,3,0.28
74,32557,685,11,3,0.24
45,68611,829,32,3,0.25
31,215298,583,4,2,0.51
22,60211,370,1,4,0.18
71,56930,803,35,3,0.34
73,54256,514,23,2,0.41
50,77480,416,20,4,0.36
67,57320,399,29,2,0.38
65,69029,594,14,2,0.52
58,51732,476,8,2,0.26
36,35663,431,31,3,0.27
39,191192,356,7,0,0.18
22,57049,312,22,3,0.48
19,296321,492,26,3,0.2
47,74047,809,7,3,0.36
64,80820,452,28,3,0.53
56,51295,322,10,4,0.15
21,44512,329,20,4,0.18
50,51878,668,38,2,0.19
30,39491,690,29,1,0.17
37,37709,609,32,1,0.57
71,146137,700,2,0,0.47
24,89310,652,12,2,0.33
32,126638,365,35,0,0.25
40,105077,465,22,4,0.16
31,44325,791,25,3,0.11
40,27726,479,9,0,0.42
36,47568,843,37,0,0.35
71,62687,316,35,4,0.4
46,106103,425,22,2,0.18
73,58261,381,7,3,0.39
37,263862,339,13,3,0.2
46,48225,518,23,2,0.12
41,80461,481,17,4,0.54
35,44387,737,39,4,0.51
27,73360,829,36,0,0.39
58,56230,460,24,1,0.56
74,52874,486,19,1,0.49
25,43941,653,24,4,0.24
43,64458,674,16,2,0.56
46,90951,766,3,2,0.29
27,36771,540,20,1,0.59
34,58437,633,19,2,0.45
19,76616,347,16,2,0.2
23,84241,410,34,3,0.3
22,151981,403,22,2,0.43
45,79964,762,20,3,0.49
58,49020,373,20,3,0.39
22,45071,616,23,1,0.47
35,44795,301,36,3,0.34
43,43565,671,17,4,0.24
37,66693,768,18,0,0.45
58,73885,309,4,3,0.51
66,90424,722,26,4,0.26
44,83491,557,5,4,0.31
66,111642,775,13,2,0.27
29,42853,544,2,4,0.17
24,135705,636,0,2,0.48
20,43703,787,30,4,0.36
27,71251,372,9,1,0.18
51,54318,304,30,1,0.27
42,59163,761,16,1,0.47
52,83796,665,38,1,0.29
33,29166,794,39,1,0.14
19,39522,516,15,4,0.15
41,87082,513,26,3,0.6
27,59809,624,15,3,0.31
55,52664,609,3,3,0.42
39,34184,337,26,1,0.41
43,52849,360,8,1,0.18
60,84159,394,24,4,0.3
72,45173,532,23,3,0.46
56,118424,847,27,2,0.31
44,102584,812,17,1,0.39
46,50260,449,25,0,0.29
64,44481,770,9,0,0.23
55,15029,514,33,0,0.11
37,34946,698,37,4,0.31
44,33888,305,10,2,0.3
58,29275,380,13,1,0.33
71,58806,488,37,4,0.1
37,69985,327,0,3,0.36
61,148349,434,16,3,0.16
36,61898,604,16,1,0.35
37,21660,794,9,1,0.27
52,41197,579,29,0,0.12
64,81249,379,32,2,0.18
19,57485,690,1,0,0.23
47,91896,314,19,2,0.22
70,46310,522,31,4,0.4
51,106512,565,2,4,0.12
39,67711,619,35,2,0.32
20,68578,405,4,4,0.51
23,64535,552,19,2,0.24
32,40840,498,2,4,0.4
44,58186,355,2,3,0.56
27,69347,706,35,1,0.49
26,29722,737,5,4,0.52
50,62305,756,38,4,0.32
49,109912,776,35,3,0.14
65,74377,646,23,0,0.34
23,118615,785,37,3,0.14
58,73413,662,36,4,0.35
53,38222,511,7,3,0.35
19,88909,736,37,3,0.51
46,33842,442,15,3,0.37
21,53948,584,0,2,0.15
18,52156,369,13,3,0.33
36,42653,827,9,3,0.47
43,196709,609,9,4,0.15
42,57738,562,21,2,0.35
27,148009,359,39,0,0.35
70,71096,821,30,2,0.57
32,39717,608,3,2,0.49
39,48786,819,22,2,0.22
68,58733,681,11,4,0.5
65,50468,640,7,1,0.31
38,52209,848,23,4,0.35
73,79767,383,0,4,0.29
39,71875,533,25,0,0.15
53,84541,539,21,0,0.6
51,128456,403,24,0,0.14
47,47299,524,30,1,0.14
42,104500,578,33,2,0.16
62,120186,692,36,1,0.24
45,114342,728,10,2,0.37
18,24835,701,3,1,0.49
66,147096,345,7,4,0.48
62,43555,813,34,4,0.35
21,23852,475,24,2,0.52
24,145299,665,30,2,0.11
66,77396,472,22,2,0.12
26,79011,603,39,3,0.42
53,50714,451,37,0,0.33
36,65581,650,3,3,0.35
18,55845,391,35,3,0.21
27,43822,460,6,4,0.52
53,60566,405,9,4,0.35
26,63358,402,5,2,0.21
62,30920,431,30,4,0.17
63,61562,588,3,2,0.6
59,24495,757,20,3,0.46
49,156400,400,19,0,0.37
49,56880,320,16,4,0.38
23,35040,548,5,3,0.16
65,77389,491,10,2,0.46
55,41218,612,17,4,0.56
34,59004,467,8,0,0.55
27,75188,470,11,4,0.49
67,36013,515,30,2,0.43
44,158713,808,30,3,0.23
71,166451,473,33,3,0.27
67,46040,835,15,0,0.52
52,34143,707,11,0,0.46
69,45935,800,12,3,0.6
38,47179,437,35,1,0.14
42,104315,398,12,3,0.27
45,46334,356,1,2,0.54
64,33495,546,14,4,0.11
32,62993,406,12,1,0.27
21,28412,347,33,3,0.59
46,102129,585,25,4,0.37
26,80821,345,5,0,0.25
44,44358,695,20,3,0.57
43,46846,419,32,1,0.27
36,67803,359,14,2,0.17
73,34491,446,34,4,0.39
45,40378,796,27,4,0.46
34,53492,417,5,3,0.14
60,30964,536,36,2,0.41
74,47706,517,39,2,0.29
58,35012,423,5,0,0.16
59,122161,562,10,3,0.42
67,48936,469,13,4,0.23
37,37294,691,20,0,0.18
62,83886,449,19,4,0.15
57,43728,545,4,0,0.3
56,34501,800,8,3,0.41
66,93317,490,29,0,0.59
70,50941,473,37,0,0.27
40,91172,471,26,2,0.41
64,59425,637,4,2,0.16
49,63869,710,4,4,0.57
69,79347,369,39,2,0.47
64,43590,397,14,3,0.46
50,39930,816,8,3,0.37
74,109198,484,24,0,0.38
63,79974,712,7,4,0.32
22,57887,677,13,3,0.12
60,89129,311,38,0,0.14
65,78439,708,31,4,0.2
51,95956,717,30,3,0.19
57,33812,630,22,1,0.13
28,57983,579,0,0,0.35
67,105335,414,30,3,0.35
20,138498,509,6,1,0.4
50,45799,746,14,0,0.49
28,64833,693,5,3,0.57
33,60455,480,15,0,0.57
35,32141,764,13,2,0.55
47,51855,327,16,1,0.47
65,27191,492,9,4,0.44
72,55068,555,28,4,0.16
27,35631,723,7,0,0.43
35,65183,390,10,0,0.18
55,51279,444,17,2,0.47
36,50873,751,19,1,0.18
53,130184,727,15,0,0.44
30,62031,541,26,4,0.14
73,153140,785,22,1,0.26
63,74845,330,13,1,0.29
20,90019,359,11,2,0.26
27,38763,775,26,0,0.26
55,42326,400,12,1,0.37
18,60393,572,15,2,0.51
72,109813,777,32,4,0.54
73,49937,357,23,2,0.14
44,29268,804,11,2,0.2
63,73056,686,8,2,0.25
25,61820,760,12,0,0.44
68,45455,344,7,2,0.3
63,49685,590,17,4,0.34
59,38733,557,26,1,0.49
34,95030,545,32,3,0.42
26,60576,539,6,0,0.39
23,67524,712,12,3,0.39
60,44435,427,14,2,0.2
42,116787,575,33,0,0.16
56,66862,717,39,4,0.26
66,20525,506,19,3,0.48
45,75356,664,36,1,0.53
50,52461,645,16,4,0.5
71,55161,459,28,4,0.18
54,98404,395,20,3,0.56
26,62585,724,13,1,0.29
35,140951,415,28,0,0.52
73,63120,511,21,4,0.41
38,47414,606,32,0,0.5
19,24181,567,12,4,0.12
60,41817,343,30,2,0.32
55,50964,757,11,4,0.4
57,124634,771,31,0,0.28
53,47558,308,5,1,0.49
67,136081,488,10,3,0.46
60,33719,680,22,1,0.29
54,40691,414,6,4,0.32
32,105186,801,19,0,0.35
45,44464,687,3,2,0.37
35,103737,738,20,1,0.25
51,39610,618,29,2,0.21
39,41645,743,24,3,0.16
28,82530,327,30,2,0.17
74,39888,697,1,3,0.33
30,52197,376,19,2,0.43
21,72939,657,13,4,0.43
39,52769,485,37,2,0.33
24,45193,533,22,1,0.41
60,32741,547,4,1,0.58
71,123582,698,18,1,0.59
41,135680,628,6,3,0.52
21,70591,304,20,3,0.56
45,53313,647,32,4,0.17
32,54798,698,19,3,0.24
18,90771,558,8,4,0.58
72,100296,718,30,2,0.17
20,45703,690,7,0,0.54
31,102467,414,10,1,0.32
55,81433,303,6,1,0.59
67,101581,427,20,4,0.46
74,26879,308,27,3,0.27
18,48552,623,14,2,0.16
55,54915,417,7,4,0.22
55,47359,766,11,1,0.45
38,156163,762,4,4,0.26
65,48779,424,7,0,0.57
46,75674,522,36,0,0.37
22,64629,627,13,0,0.36
66,51786,558,3,2,0.5
27,42010,366,26,0,0.5
45,167363,361,14,2,0.44
38,53587,825,19,4,0.58
67,92761,578,21,2,0.39
24,59585,422,35,1,0.55
20,47602,571,29,3,0.34
62,63205,801,32,0,0.48
64,69846,568,27,3,0.22
37,47344,517,37,4,0.53
36,40851,458,39,2,0.28
52,75969,659,3,2,0.46
21,63461,764,13,3,0.26
22,43216,843,1,4,0.58
18,37450,547,36,3,0.2
21,71299,590,18,1,0.36
29,22947,335,13,0,0.3
44,52559,365,6,0,0.37
73,64057,726,8,2,0.22
59,142748,456,32,4,0.35
40,60188,420,23,4,0.17
42,51503,491,20,2,0.22
38,69028,775,0,4,0.44
69,41845,653,20,4,0.33
41,53665,842,39,0,0.35
42,60757,656,23,1,0.57
62,82023,830,37,1,0.21
72,42766,779,3,2,0.38
63,59703,372,5,1,0.37
49,24452,690,2,1,0.32
72,77523,375,33,0,0.52
49,53358,487,24,1,0.38
22,153607,637,26,1,0.51
53,71372,775,17,1,0.53
63,38812,605,4,3,0.14
59,34653,461,23,1,0.57
66,83353,346,31,3,0.48
59,147004,323,20,0,0.34
56,126131,635,33,1,0.51
33,32651,583,28,4,0.21
50,66280,473,4,3,0.51
66,105188,606,27,1,0.38
38,30620,529,5,4,0.32
26,100577,417,10,2,0.39
23,42133,352,38,3,0.46
68,53758,491,7,0,0.24
62,68755,822,34,2,0.15
52,102145,440,10,4,0.55
56,128791,412,19,3,0.58
39,50946,563,21,3,0.41
58,47107,790,11,1,0.36
71,45564,643,4,2,0.13
22,88414,822,33,1,0.31
59,98496,398,33,0,0.27
40,93639,772,29,2,0.29
34,68520,322,22,3,0.46
29,71985,538,35,4,0.28
40,53359,562,24,0,0.5
33,55907,624,5,1,0.6
20,91765,686,28,1,0.37
47,68332,421,20,0,0.24
74,47259,599,6,2,0.58
39,103742,616,36,0,0.47
26,44182,319,8,2,0.21
46,64398,841,35,0,0.6
64,32208,599,0,0,0.11
54,37313,769,30,3,0.39
40,60448,385,19,2,0.44
30,42271,704,27,0,0.19
49,53392,411,18,1,0.13
63,109824,438,0,1,0.1
69,56253,309,28,2,0.56
64,93894,590,9,0,0.39
65,40523,678,35,2,0.19
40,78782,537,22,0,0.41
62,36312,629,17,3,0.1
34,52844,484,28,4,0.29
72,80398,724,27,1,0.48
57,60257,622,6,2,0.15
38,95908,781,30,1,0.4
19,83596,657,37,0,0.26
54,51318,661,1,1,0.15
23,114516,335,14,0,0.51
61,74470,815,21,2,0.37
35,53005,629,10,4,0.5
47,64400,568,18,3,0.58
39,62658,369,5,3,0.19
71,66223,818,8,1,0.17
50,55777,677,28,2,0.59
47,72132,592,2,2,0.22
34,88868,585,12,3,0.31
60,74071,659,14,0,0.52
49,72821,823,4,3,0.22
59,56934,636,4,1,0.46
68,38444,841,1,3,0.49
31,34041,335,37,0,0.35
27,42033,787,29,1,0.34
64,48581,678,27,0,0.21
68,138122,643,38,4,0.41
53,111952,529,31,1,0.2
51,44504,696,19,0,0.23
26,74970,720,19,3,0.4
59,57883,701,28,4,0.24
45,67372,787,34,0,0.33
28,45510,345,31,3,0.58
31,183667,453,16,4,0.4
56,152093,560,7,2,0.48
72,51724,586,20,2,0.45
64,44437,630,22,4,0.58
71,95104,771,26,0,0.15
36,32701,568,5,0,0.19
71,91397,456,7,1,0.44
32,63750,728,34,0,0.52
45,29230,551,4,0,0.47
41,55498,566,32,2,0.17
25,43136,358,0,2,0.44
60,64918,470,23,0,0.41
26,61620,618,31,3,0.37
64,30526,697,32,2,0.38
50,50661,314,37,0,0.4
50,79806,761,1,2,0.19
36,86981,437,16,0,0.27
20,49934,449,9,4,0.41
27,75273,599,36,2,0.14
57,68404,722,36,0,0.46
64,58318,718,1,2,0.47
59,75503,492,11,3,0.17
18,37699,582,36,4,0.24
46,59903,553,29,0,0.22
67,26850,803,14,4,0.2
51,58275,612,22,0,0.28
68,122089,577,17,4,0.48
30,51033,609,30,4,0.3
71,116136,485,37,1,0.37
18,51441,523,28,0,0.16
51,34809,721,13,2,0.41
46,83507,326,39,2,0.6
65,75505,680,22,2,0.46
64,190899,619,24,4,0.34
30,36693,430,37,3,0.34
65,71553,822,27,2,0.56
66,72840,579,34,4,0.3
70,101629,584,29,2,0.46
46,78033,496,26,1,0.4
56,51842,574,7,4,0.41
41,35047,367,18,0,0.14
43,71204,532,0,4,0.43
34,72201,521,19,1,0.42
24,82101,752,29,0,0.47
30,51807,603,28,2,0.44
22,68808,699,7,4,0.54
43,27665,619,13,1,0.6
66,35788,563,37,0,0.2
20,95584,664,2,3,0.54
24,65507,688,2,4,0.25
66,75956,526,13,4,0.23
56,44392,755,20,2,0.21
70,41659,604,34,3,0.37
18,48446,804,26,2,0.36
66,67429,627,27,3,0.53
34,84369,820,27,0,0.32
60,52862,619,4,0,0.49
42,26113,791,38,4,0.59
20,73168,760,9,4,0.2
32,68427,834,8,0,0.14
46,76083,743,19,3,0.27
70,91880,742,28,2,0.58
60,88325,526,28,0,0.49
49,118232,826,27,0,0.33
43,60730,815,10,1,0.15
33,48244,717,20,4,0.25
42,100752,400,34,3,0.54
71,94294,707,22,2,0.18
45,53293,704,28,1,0.43
26,104082,429,14,1,0.41
73,62147,818,16,0,0.26
73,113341,334,23,4,0.4
18,142145,453,34,0,0.47
46,224254,701,19,1,0.13
74,61766,363,35,1,0.5
39,121505,528,10,2,0.33
33,91759,552,29,0,0.21
58,96132,787,38,0,0.37
68,74029,314,19,3,0.13
61,96331,639,21,2,0.52
68,30120,662,23,4,0.6
71,59016,479,13,0,0.44
58,43185,514,35,0,0.26
24,41416,453,12,4,0.55
31,29209,344,0,2,0.26
46,46011,651,26,0,0.28
36,54881,320,12,4,0.56
36,65654,668,34,3,0.41
19,59503,377,7,0,0.29
58,101333,418,17,4,0.32
62,38253,658,33,1,0.44
32,22655,813,5,0,0.43
20,78098,802,26,3,0.28
28,58491,331,17,4,0.16
70,57887,657,8,4,0.31
63,41923,361,14,0,0.43
47,94331,396,22,1,0.23
74,48555,677,2,4,0.54
57,38492,795,8,4,0.27
35,138293,751,21,1,0.2
68,84608,514,22,3,0.31
65,58683,383,19,0,0.22
19,17665,705,6,0,0.33
49,53225,406,16,0,0.14
25,59230,788,2,2,0.32
39,124472,656,6,0,0.47
23,24959,430,12,1,0.24
29,130630,321,22,0,0.59
64,74493,525,36,3,0.19
74,32735,405,3,2,0.27
57,94931,693,8,1,0.35
53,53000,400,5,1,0.52
32,26083,447,17,3,0.32
45,47944,529,34,0,0.47
69,68012,386,22,2,0.11
74,61757,822,30,2,0.11
66,82597,392,19,2,0.12
62,103643,452,6,1,0.11
35,34569,722,11,3,0.2
19,59251,653,36,1,0.4
30,44135,708,3,0,0.5
62,32065,386,11,4,0.38
71,58342,510,14,2,0.14
32,74297,682,1,2,0.45
37,76522,823,10,2,0.38
46,49138,452,32,1,0.26
59,36172,304,13,2,0.19
46,43377,375,26,2,0.14
20,23425,710,3,4,0.35
36,33035,303,37,3,0.52
20,34499,671,39,0,0.15
71,91368,382,19,1,0.15
31,91327,730,1,0,0.24
57,173640,771,3,3,0.29
72,67518,661,23,0,0.6
21,47007,711,8,1,0.37
69,60233,334,18,4,0.51
28,55016,541,7,0,0.21
48,43657,379,27,3,0.55
60,70260,374,12,1,0.47
49,65951,583,7,3,0.27
44,57452,537,13,0,0.48
47,51681,636,9,1,0.54
60,82121,830,19,0,0.28
19,45393,382,0,2,0.52
66,48943,617,11,1,0.32
26,75928,596,34,0,0.47
45,99284,641,19,1,0.25
48,94851,723,11,4,0.45
51,52586,318,11,2,0.54
73,31819,303,38,3,0.34
32,51805,766,28,0,0.49
65,62115,489,2,3,0.38
42,34299,580,6,0,0.52
53,51325,362,22,1,0.22
25,109485,553,12,3,0.11
26,64456,301,10,2,0.44
54,45693,366,24,0,0.49
65,60743,585,19,3,0.14
62,62434,431,26,0,0.43
56,49678,347,5,4,0.21
49,88096,346,5,4,0.59
69,23999,530,38,3,0.49
34,75802,583,8,4,0.18
52,44955,848,20,2,0.34
54,100997,327,17,3,0.49
36,31655,710,0,1,0.36
61,95730,772,11,3,0.59
46,40350,521,0,1,0.32
24,70332,675,27,4,0.54
45,47453,308,23,3,0.15
26,105198,712,18,2,0.37
45,54418,770,13,4,0.6
23,41708,369,13,4,0.44
46,120517,641,25,4,0.18
34,52048,365,15,1,0.43
33,77721,369,23,1,0.31
40,95752,560,31,2,0.45
48,38570,831,5,1,0.28
20,73937,695,29,0,0.35
38,79109,657,22,0,0.21
43,27619,657,18,3,0.18
53,70370,691,24,4,0.25
59,50163,675,24,0,0.49
54,134603,485,1,1,0.5
70,92324,604,9,2,0.37
39,74573,363,26,1,0.19
59,21575,477,7,4,0.5
29,74794,534,32,4,0.53
59,40925,339,18,0,0.15
30,92666,586,29,0,0.31
28,55273,558,33,1,0.38
71,46187,766,13,3,0.5
33,48131,539,35,1,0.42
25,49756,802,19,0,0.31
57,30527,841,22,3,0.33
74,32597,650,14,3,0.31
57,50627,840,1,0,0.16
62,130296,611,23,1,0.49
19,85582,407,23,2,0.13
47,89500,329,30,0,0.44
47,108946,608,15,1,0.18
29,68910,785,3,2,0.31
27,47651,345,33,4,0.16
61,48752,658,14,4,0.4
28,39621,436,18,4,0.55
32,89814,730,18,2,0.4
33,37491,550,34,3,0.3
34,170275,732,19,4,0.57
43,38121,506,38,4,0.25
19,110354,745,28,3,0.23
67,110652,358,14,2,0.46
29,81811,505,19,2,0.58
68,134630,630,31,3,0.49
43,54278,824,12,0,0.29
40,63839,457,6,3,0.24
35,66984,403,15,1,0.33
49,80423,658,9,1,0.47
66,24113,664,1,0,0.24
55,56779,478,37,0,0.52
74,91960,657,17,1,0.42
64,49714,563,33,3,0.34
20,159498,848,20,2,0.15
55,63832,652,20,1,0.31
20,77440,663,0,3,0.22
47,130027,549,14,1,0.35
18,63877,419,9,2,0.43
47,128969,491,34,1,0.26
62,80143,361,24,1,0.51
49,80220,509,31,2,0.53
45,38384,351,30,4,0.22
38,104112,612,9,1,0.11
63,44214,578,2,1,0.19
30,54546,687,21,1,0.33
44,112375,501,37,0,0.44
53,49842,438,1,0,0.4
24,71246,318,22,2,0.39
39,58282,620,39,3,0.22
27,59308,394,23,0,0.18
56,55562,429,31,2,0.12
70,35664,404,32,0,0.32
32,78634,496,26,3,0.25
32,82212,559,12,0,0.37
21,44757,338,36,4,0.4
49,47995,800,38,3,0.24
40,94513,430,28,3,0.38
72,52475,453,24,0,0.4
23,62711,620,18,0,0.54
41,38530,421,0,1,0.17
37,58003,443,34,1,0.29
54,38634,485,15,3,0.26
37,44245,846,7,1,0.23
29,40860,510,6,1,0.31
50,92193,699,20,1,0.57
45,30798,332,10,4,0.52
25,68414,458,25,1,0.36
18,53553,705,14,1,0.3
54,120346,663,5,4,0.32
39,88409,462,36,0,0.23
23,32209,430,3,3,0.43
38,45240,395,18,2,0.23
49,59459,569,20,0,0.16
52,45235,666,36,4,0.26
32,94290,664,17,4,0.34
22,65184,733,35,3,0.46
73,54356,360,36,1,0.34
63,97777,622,14,2,0.12
67,33233,507,37,2,0.45
65,52430,647,1,2,0.49
23,67778,344,30,0,0.15
42,55789,646,5,4,0.46
73,12678,668,18,2,0.43
